iter	RMSE
470	5.357877155
471	5.356565211
472	5.355558833
473	5.3541591
474	5.352210158
475	5.35069026
476	5.349453557
477	5.348171027
478	5.346860526
479	5.345674159
480	5.344077778
481	5.342178159
482	5.340875644
483	5.338728526
484	5.337248511
485	5.336138081
486	5.334923188
487	5.333331976
488	5.332045459
489	5.330495996
490	5.329248907
491	5.32792943
492	5.326462628
493	5.325397208
494	5.324573115
495	5.323540502
496	5.322033131
497	5.321230128
498	5.319649865
499	5.318109821
500	5.31678067
501	5.315546048
502	5.314316523
503	5.312299239
504	5.311118721
505	5.309940386
506	5.308432932
507	5.306815705
508	5.305592031
509	5.303638835
510	5.302644424
511	5.301977182
512	5.300908331
513	5.299645643
514	5.297421691
515	5.296531775
516	5.295472957
517	5.294657218
518	5.293794956
519	5.292887363
520	5.291105657
521	5.289709097
522	5.287862998
523	5.286641862
524	5.285587161
525	5.283984659
526	5.283228
527	5.282519106
528	5.281733408
529	5.280135363
530	5.278782684
531	5.27814779
532	5.27617193
533	5.275352642
534	5.274435581
535	5.273551401
536	5.272053165
537	5.271181794
538	5.270360799
539	5.26954251
540	5.268504117
541	5.267784313
542	5.267033578
543	5.266142599
544	5.26522272
545	5.264278506
546	5.26364588
547	5.26248701
548	5.261441876
549	5.259624451
550	5.258659165
551	5.25759715
552	5.256513998
553	5.255672096
554	5.255083722
555	5.254589604
556	5.253503813
557	5.252342962
558	5.251271324
559	5.250233841
560	5.248821976
561	5.247994486
562	5.246548536
563	5.245360012
564	5.244398721
565	5.243852785
566	5.242891416
567	5.241848374
568	5.241357294
569	5.240497745
570	5.239524829
571	5.23889026
572	5.237342142
573	5.236398251
574	5.2353642
575	5.234404133
576	5.233441685
577	5.232337595
578	5.231819532
579	5.230727975
580	5.229687937
581	5.228866317
582	5.228038503
583	5.227050908
584	5.225286722
585	5.223584524
586	5.222485091
587	5.221498456
588	5.220933452
589	5.22021783
590	5.219577402
591	5.218497483
592	5.21748243
593	5.216328902
594	5.215885652
595	5.215260613
596	5.214578237
597	5.213832379
598	5.213339428
599	5.212696403
600	5.211974983
601	5.210942384
602	5.209885544
603	5.209662046
604	5.209002886
605	5.208421406
606	5.207474116
607	5.206850913
608	5.206128213
609	5.205504243
610	5.20504839
611	5.204470406
612	5.203555513
613	5.202176759
614	5.201353908
615	5.200166364
616	5.19944113
617	5.19899835
618	5.198161274
619	5.196474778
620	5.195042275
621	5.194175798
622	5.19340105
623	5.192829657
624	5.192410556
625	5.191118197
626	5.189913997
627	5.188997914
628	5.188202774
629	5.18752784
630	5.186846546
631	5.185937168
632	5.185148051
633	5.183951545
634	5.183294382
635	5.181770966
636	5.181019982
637	5.179978274
638	5.179228107
639	5.177986032
640	5.177167219
641	5.176168052
642	5.175596514
643	5.174628053
644	5.174076193
645	5.173370489
646	5.172912624
647	5.17170013
648	5.171177627
649	5.170565413
650	5.169262381
651	5.168706689
652	5.168033352
653	5.167393119
654	5.16633906
655	5.165150082
656	5.164425934
657	5.163857843
658	5.162565124
659	5.161373281
660	5.160541877
661	5.159619817
662	5.158481492
663	5.15782416
664	5.156279718
665	5.155612263
666	5.154868753
667	5.154218681
668	5.153260547
669	5.152092939
670	5.151399154
671	5.150630874
672	5.150077332
673	5.149630022
674	5.14850593
675	5.147538546
676	5.146822819
677	5.146151462
678	5.145057641
679	5.143884489
680	5.143238142
681	5.142698472
682	5.142131866
683	5.141219691
684	5.140474252
685	5.139377561
686	5.138654589
687	5.137424851
688	5.136542949
689	5.135197478
690	5.134557429
691	5.133689116
692	5.132748618
693	5.132360593
694	5.132061519
695	5.131529206
696	5.131072148
697	5.130093884
698	5.128734332
699	5.127859366
700	5.12694331
701	5.126033488
702	5.125054674
703	5.124112434
704	5.123443568
705	5.122167542
706	5.121370838
707	5.12080403
708	5.12028378
709	5.119691193
710	5.119165524
711	5.118174716
712	5.117613977
713	5.116770859
714	5.115967563
715	5.115549177
716	5.114247672
717	5.113810615
718	5.113312412
719	5.112795986
720	5.112029982
721	5.110586165
722	5.110060552
723	5.109623054
724	5.108595932
725	5.107829792
726	5.106901814
727	5.106629249
728	5.106133409
729	5.105140566
730	5.104672511
731	5.103747797
732	5.103088906
733	5.102722101
734	5.101766134
735	5.101140219
736	5.100116224
737	5.0989414
738	5.098582312
739	5.097810443
740	5.097146147
741	5.096509123
742	5.095408382
743	5.093878017
744	5.092444787
745	5.091661229
746	5.090556095
747	5.090050098
748	5.088718691
749	5.088252401
750	5.087740575
751	5.087056564
752	5.085822413
753	5.084442444
754	5.083837109
755	5.08255918
756	5.081924987
757	5.081310153
758	5.080030711
759	5.079410412
760	5.078790056
761	5.078337088
762	5.077937242
763	5.076816563
764	5.076382886
765	5.075801273
766	5.074867716
767	5.074160083
768	5.073432254
769	5.072432534
770	5.071164066
771	5.070653161
772	5.070254699
773	5.069520694
774	5.069015287
775	5.068181265
776	5.067618199
777	5.066800389
778	5.065866559
779	5.065187989
780	5.064842013
781	5.064054847
782	5.063342227
783	5.062863104
784	5.062474029
785	5.062008626
786	5.060355883
787	5.059729306
788	5.058600604
789	5.058156554
790	5.05702788
791	5.056500289
792	5.055102508
793	5.054548679
794	5.053731897
795	5.053110916
796	5.052841191
797	5.052236473
798	5.051297571
799	5.050221295
800	5.049384841
801	5.048153382
802	5.047651718
803	5.047239179
804	5.046370855
805	5.045038639
806	5.044296513
807	5.043539666
808	5.043131817
809	5.042424093
810	5.041480711
811	5.041001875
812	5.04051932
813	5.039771211
814	5.039015468
815	5.038038391
816	5.037366327
817	5.036619044
818	5.035914967
819	5.035276857
820	5.034921102
821	5.033919476
822	5.033486108
823	5.033189687
824	5.032501954
825	5.031691864
826	5.031162023
827	5.030881128
828	5.030141371
829	5.029300439
830	5.028858577
831	5.027785669
832	5.027296875
833	5.026921306
834	5.025686483
835	5.025191069
836	5.024254228
837	5.023811584
838	5.023311388
839	5.022235789
840	5.021640789
841	5.021002792
842	5.020658438
843	5.019471772
844	5.018782556
845	5.018234708
846	5.017682922
847	5.016898498
848	5.016620268
849	5.016159225
850	5.015183407
851	5.013611873
852	5.01297933
853	5.012674136
854	5.011621164
855	5.011184037
856	5.010706542
857	5.010247972
858	5.009378209
859	5.008733434
860	5.008168395
861	5.00757858
862	5.00673736
863	5.006390726
864	5.005889379
865	5.004678338
866	5.003971684
867	5.003654391
868	5.003206565
869	5.002132363
870	5.001481786
871	5.000981649
872	4.999708268
873	4.999177309
874	4.998793531
875	4.998492343
876	4.998155524
877	4.997583767
878	4.996946948
879	4.996644536
880	4.995976647
881	4.995448839
882	4.995054376
883	4.993854914
884	4.992858654
885	4.992347746
886	4.991763069
887	4.991299898
888	4.990507106
889	4.989312518
890	4.988317787
891	4.987361894
892	4.986975899
893	4.986242822
894	4.985792474
895	4.98543298
896	4.984910708
897	4.984200707
898	4.983489478
899	4.98293055
900	4.982006973
901	4.981616198
902	4.981017129
903	4.980714253
904	4.980062755
905	4.979774008
906	4.979298138
907	4.978779979
908	4.978341174
909	4.977830851
910	4.977062392
911	4.976648148
912	4.975467506
913	4.974927642
914	4.973904166
915	4.973461757
916	4.973115556
917	4.972010124
918	4.971320303
919	4.970735318
920	4.970124331
921	4.969665516
922	4.969151462
923	4.968231229
924	4.967644142
925	4.967189596
926	4.966153374
927	4.965418919
928	4.964975484
929	4.964695096
930	4.964204152
931	4.963626449
932	4.963075291
933	4.962617564
934	4.961953006
935	4.960618038
936	4.960195283
937	4.959417011
938	4.958158436
939	4.95702173
940	4.956289198
941	4.955115689
942	4.954550519
943	4.954099369
944	4.953668412
945	4.953078666
946	4.952313266
947	4.951449332
948	4.950287016
949	4.949711156
950	4.949417874
951	4.948504132
952	4.947621336
953	4.946803459
954	4.946238227
955	4.945221615
956	4.944678439
957	4.944069029
958	4.943521624
959	4.942490343
960	4.941564312
961	4.940458179
962	4.939954997
963	4.939195532
964	4.938522348
965	4.937949164
966	4.936702107
967	4.935448274
968	4.935055175
969	4.93429958
970	4.933890746
971	4.932900077
972	4.932489473
973	4.931758557
974	4.931267479
975	4.930990805
976	4.930734889
977	4.93030345
978	4.929572882
979	4.928587191
980	4.927923884
981	4.927467832
982	4.926417539
983	4.925756224
984	4.924950921
985	4.924675447
986	4.924022535
987	4.923423289
988	4.923023918
989	4.922138322
990	4.921428672
991	4.921016078
992	4.920744197
993	4.920080062
994	4.919419952
995	4.918407895
996	4.918092218
997	4.917396585
998	4.916899936
999	4.916430212
